event,status,success,fails
subscribe-status,ok,"[{'symbol': 'RTSI', 'exchange': 'MOEX', 'mic_code': 'MOEX', 'country': 'Russia', 'type': 'Index'}, {'symbol': 'N225', 'exchange': 'JPX', 'mic_code': 'JPX', 'country': 'Japan', 'type': 'Index'}, {'symbol': 'CASE30', 'exchange': 'EGX', 'mic_code': 'EGX', 'country': 'Egypt', 'type': 'Index'}, {'symbol': 'TWII', 'exchange': 'TWSE', 'mic_code': 'TWSE', 'country': 'Taiwan', 'type': 'Index'}]",
event,status,success,fails
subscribe-status,ok,"[{'symbol': 'RTSI', 'exchange': 'MOEX', 'mic_code': 'MOEX', 'country': 'Russia', 'type': 'Index'}, {'symbol': 'N225', 'exchange': 'JPX', 'mic_code': 'JPX', 'country': 'Japan', 'type': 'Index'}, {'symbol': 'CASE30', 'exchange': 'EGX', 'mic_code': 'EGX', 'country': 'Egypt', 'type': 'Index'}, {'symbol': 'TWII', 'exchange': 'TWSE', 'mic_code': 'TWSE', 'country': 'Taiwan', 'type': 'Index'}]",
event,status,success,fails
subscribe-status,ok,"[{'symbol': 'GSPC', 'exchange': 'NYSE', 'mic_code': 'NYSE', 'country': 'United States', 'type': 'Index'}, {'symbol': 'DJI', 'exchange': 'NYSE', 'mic_code': 'NYSE', 'country': 'United States', 'type': 'Index'}, {'symbol': 'IXIC', 'exchange': 'NASDAQ', 'mic_code': 'NASDAQ', 'country': 'United States', 'type': 'Index'}, {'symbol': 'VIX', 'exchange': 'CBOE', 'mic_code': 'CBOE', 'country': 'United States', 'type': 'Index'}, {'symbol': 'RUT', 'exchange': 'CBOE', 'mic_code': 'CBOE', 'country': 'United States', 'type': 'Index'}, {'symbol': 'HSI', 'exchange': 'HKEX', 'mic_code': 'HKEX', 'country': 'Hong Kong', 'type': 'Index'}, {'symbol': '000001', 'exchange': 'SSE', 'mic_code': 'SSE', 'country': 'China', 'type': 'Index'}, {'symbol': 'N225', 'exchange': 'JPX', 'mic_code': 'JPX', 'country': 'Japan', 'type': 'Index'}, {'symbol': 'FTSE', 'exchange': 'LSE', 'mic_code': 'LSE', 'country': 'United Kingdom', 'type': 'Index'}, {'symbol': 'FCHI', 'exchange': 'Euronext', 'mic_code': 'Euronext', 'country': 'France', 'type': 'Index'}, {'symbol': 'GDAXI', 'exchange': 'XETR', 'mic_code': 'XETR', 'country': 'Germany', 'type': 'Index'}, {'symbol': 'RTSI', 'exchange': 'MOEX', 'mic_code': 'MOEX', 'country': 'Russia', 'type': 'Index'}, {'symbol': 'STOXX50E', 'exchange': 'SIX', 'mic_code': 'SIX', 'country': 'Switzerland', 'type': 'Index'}, {'symbol': 'NSEI', 'exchange': 'NSE', 'mic_code': 'NSE', 'country': 'India', 'type': 'Index'}, {'symbol': 'CASE30', 'exchange': 'EGX', 'mic_code': 'EGX', 'country': 'Egypt', 'type': 'Index'}, {'symbol': 'BVSP', 'exchange': 'Bovespa', 'mic_code': 'Bovespa', 'country': 'Brazil', 'type': 'Index'}, {'symbol': 'TWII', 'exchange': 'TWSE', 'mic_code': 'TWSE', 'country': 'Taiwan', 'type': 'Index'}]",
event,status,success,fails
subscribe-status,ok,"[{'symbol': 'AUD/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'CAD/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'CHF/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'CNY/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'EUR/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'GBP/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'HKD/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'IDR/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'ILS/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'INR/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'JPY/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'MYR/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'SGD/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'THB/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'TWD/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'USD/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'ZAR/KRW', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'WTI/USD', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'XBR/USD', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'XAG/USD', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'XAU/USD', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'XG/USD', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'XPD/USD', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}, {'symbol': 'XPT/USD', 'exchange': 'PHYSICAL CURRENCY', 'mic_code': 'PHYSICAL CURRENCY', 'country': '', 'type': 'Physical Currency'}]",
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAG/USD,USD,Silver Spot,US Dollar,Physical Currency,1658184212,18.736,18.727,18.745
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XPT/USD,USD,Platinum Spot,US Dollar,Physical Currency,1658184210,869.62,864.47,874.77
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAU/USD,USD,Gold Spot,US Dollar,Physical Currency,1658184211,1708.62,1708.48,1708.77
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAU/USD,USD,Gold Spot,US Dollar,Physical Currency,1658184212,1708.62,1708.48,1708.77
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAG/USD,USD,Silver Spot,US Dollar,Physical Currency,1658184214,18.736,18.726,18.745
event,symbol,currency_base,currency_quote,type,timestamp,price,bid,ask,day_volume
price,JPY/KRW,Japanese Yen,Korean Won,Physical Currency,1658184209,9.5448,9.5376,9.552,7012
event,symbol,currency_base,currency_quote,type,timestamp,price,bid,ask,day_volume
price,JPY/KRW,Japanese Yen,Korean Won,Physical Currency,1658184211,9.5448,9.5376,9.552,7016
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAG/USD,USD,Silver Spot,US Dollar,Physical Currency,1658184220,18.738,18.72,18.756
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAU/USD,USD,Gold Spot,US Dollar,Physical Currency,1658184214,1708.61,1708.47,1708.75
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAU/USD,USD,Gold Spot,US Dollar,Physical Currency,1658184216,1708.62,1708.47,1708.76
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAG/USD,USD,Silver Spot,US Dollar,Physical Currency,1658184222,18.735,18.717,18.753
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAG/USD,USD,Silver Spot,US Dollar,Physical Currency,1658184223,18.733,18.725,18.742
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAG/USD,USD,Silver Spot,US Dollar,Physical Currency,1658184225,18.734,18.716,18.752
event,symbol,currency_base,currency_quote,type,timestamp,price,bid,ask,day_volume
price,JPY/KRW,Japanese Yen,Korean Won,Physical Currency,1658184219,9.5448,9.5376,9.552,7020
event,symbol,currency_base,currency_quote,type,timestamp,price,bid,ask
price,TWD/KRW,Taiwan Dollar,Korean Won,Physical Currency,1658184226,44.109,44.10900116,44.11899948
event,symbol,currency_base,currency_quote,type,timestamp,price
price,HKD/KRW,Hong Kong Dollar,Korean Won,Physical Currency,1658184226,167.49
event,symbol,currency_base,currency_quote,type,timestamp,price,bid,ask
price,CHF/KRW,Swiss Franc,Korean Won,Physical Currency,1658184226,1348.86,1348.85998535,1349.10998535
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
price,XAG/USD,USD,Silver Spot,US Dollar,Physical Currency,1658184229,18.735,18.716,18.753
event,symbol,currency,currency_base,currency_quote,type,timestamp,price,bid,ask
